Word,Length,SUBTLWF,Concreteness_Rating,Emotional_Valence
albino,6,1.16,4.41,4.9
album,5,10.24,4.69,6.19
alcohol,7,16.57,4.76,4.11
alcoholic,9,6.20,3.37,2.49
ale,3,3.96,4.65,5.95
alert,5,20.61,2.59,5.38
algebra,7,1.76,3.14,5.4
alias,5,4.08,2.86,5
alibi,5,8.35,2.57,4.16
alien,5,17.43,3.52,4.45
alignment,9,1.31,3.26,6
alimony,7,2.59,3.08,3.86
alive,5,154.47,3.14,6.57
alleged,7,3.98,1.82,3.62
allegiance,10,3.12,1.77,5.8
allergic,8,8.10,2.55,3
allergy,7,1.69,3.68,2.9
alley,5,16.29,4.82,4.17
alliance,8,9.12,2.5,6.14
allied,6,2.88,2.38,5.95
alligator,9,3.49,4.96,4.23
allow,5,44.37,2.41,6.39
allowance,9,5.20,3.07,6.74
alloy,5,1.02,4.29,5.2
ally,4,32.67,2.61,6.05
Almighty,8,8.75,1.9,6.15
almond,6,1.10,4.71,6.05
alone,5,308.53,2.86,3.85
alpha,5,8.12,1.81,5.5
alphabet,8,2.49,4.31,5.95
Alpine,6,1.27,3.7,5.84
altar,5,5.08,4.85,5.59
alter,5,4.78,3.07,4.57
alternate,9,3.53,2.43,5.15
alternative,11,9.33,2.46,5.33
altitude,8,3.88,2.96,5.27
aluminum,8,2.25,4.88,5.1
amateur,7,6.55,2.31,4.58
amaze,5,1.61,2,7.24
amazed,6,5.12,1.52,7.55
amazing,7,81.71,1.55,7.72
ambassador,10,13.51,4.28,5.5
amber,5,9.27,4.35,6.15
ambition,8,5.35,1.74,7.28
ambitious,9,4.76,1.81,6.33
ambulance,9,22.41,4.81,3.71
ambush,6,5.43,3.16,3.17
amendment,9,4.10,2.44,5.6
ammo,4,5.37,4.85,4.18
ammonia,7,1.49,4.44,3.74
ammunition,10,5.88,4.88,4.59
amnesia,7,3.71,3.61,3.43
amnesty,7,1.33,2.18,5.38
amount,6,24.75,2.74,5.42
amp,3,1.82,3.59,5.79
ample,5,1.82,2.5,5.89
amulet,6,2.31,4,5.75
amuse,5,2.61,2.57,7.1
amused,6,2.51,1.96,7.05
amusement,9,3.75,2.07,7
amusing,7,9.20,2.14,7.6
anal,4,2.71,3.3,4
analogy,7,1.14,1.61,5.24
analysis,8,11.04,2.56,5.25
analyst,7,3.47,4.23,5
analyze,7,3.24,2.3,5.65
anarchy,7,2.02,2.12,3.68
anatomy,7,3.20,3.59,6.29
ancestor,8,1.69,3.24,6.37
anchor,6,7.41,4.77,5.16
ancient,7,21.67,2.04,7.24
anecdote,8,1.08,2.64,5.62
anesthetic,10,1.33,3.93,5.48
angel,5,78.27,3.82,7.71
anger,5,19.43,2.41,2.5
angle,5,14.92,3.5,4.55
angry,5,58.98,2.53,2.53
anguish,7,2.16,2.38,3.14
animal,6,45.49,4.61,7.06
animated,8,1.20,2.96,6.65
animation,9,1.22,3.41,6.42
ankle,5,8.02,4.81,5.4
anniversary,11,18.41,3.15,6.95
announce,8,9.76,3.31,5.52
announcement,12,10.29,2.79,5.81
announcer,9,11.25,4.52,5.84
annoy,5,2.51,1.93,2.49
annoyed,7,3.43,2.89,2.8
annoying,8,11.12,2.31,3
annual,6,7.20,1.78,5.19
annulment,9,1.49,2.25,4.05
anomaly,7,1.24,1.79,4.84
anonymous,9,8.41,2.03,5.75
answer,6,176.20,2.89,6.1
ant,3,5.35,4.86,3.9
antenna,7,2.39,4.75,5.43
anthem,6,1.88,3.36,5.95
anthrax,7,1.29,4.44,2.32
anthropologist,14,1.04,4,5.7
anthropology,12,1.31,2.41,5.3
antibiotics,11,3.67,4.45,5.05
anticipate,10,2.53,1.54,6
anticipation,12,2.49,1.93,5.26
antidote,8,4.33,3.42,6.55
antique,7,6.06,3.75,6.5
antiques,8,2.69,4.22,6.63
anus,4,1.10,4.86,2.9
anxiety,7,6.76,2.21,2.38
anxious,7,14.10,1.68,3.8
aorta,5,1.53,4.61,4.35
Apache,6,4.92,3.88,5.2
apartment,9,83.04,4.9,5.72
apartments,10,4.22,4.71,5
ape,3,9.67,4.79,5.21
aphrodisiac,11,1.61,3.19,6.43
apocalypse,10,2.47,2.21,3.24
apologize,9,49.37,2.63,4.94
apology,7,15.76,2.86,6.24
apostle,7,1.39,3.22,5.5
appalled,8,1.16,2.19,3.62
appalling,9,1.94,2.03,2.95
apparatus,9,1.51,3.78,5.5
apparent,8,4.22,1.73,4.96
appeal,6,13.00,1.73,6.3
appear,6,23.37,3.13,5.25
appearance,10,11.59,2.57,6.14
appendix,8,2.61,4.25,4.81
appetite,8,8.94,2.74,6.23
appetizer,9,1.20,4.71,7.29
applaud,7,2.14,3.8,6.7
applause,8,11.29,4.29,7.12
apple,5,23.67,5,6.62
application,11,10.00,3.4,5.05
apply,5,12.51,2.5,5.16
appoint,7,2.04,2.24,5.95
appointment,11,30.57,3,4.43
appreciate,10,85.75,2.23,7.33
appreciation,12,5.12,1.63,7.3
apprehend,9,1.43,2.82,4.14
apprentice,10,1.94,3.67,5.95
approach,8,20.98,2.74,5.45
appropriate,11,12.88,2,6.1
approval,8,8.39,2.33,6.75
approve,7,11.37,1.85,7
approximate,11,1.25,2.03,5.26
apron,5,2.67,4.87,5.8
apt,3,1.75,1.78,5.64
aptitude,8,1.08,1.54,5.95
aquarium,8,2.76,4.77,6.43
arbitrary,9,1.02,1.62,4.15
arcade,6,2.18,4.74,6.45
arch,4,3.69,4.59,5.8
archaeologist,13,1.12,4.45,5.42
archbishop,10,3.69,4.14,4.71
architect,9,6.55,3.74,6.21
architectural,13,1.27,3.14,6.32
architecture,12,3.18,3.59,6.05
Arctic,6,1.96,3,4.45
area,4,74.92,3.72,5.56
arena,5,3.63,4.83,5.75
argue,5,19.75,2.75,3.15
argument,8,17.00,2.85,2.62
arise,5,2.96,3.17,6.17
aristocrat,10,1.35,3.76,4.28
arithmetic,10,1.53,2.74,4.95
ark,3,3.90,4.67,6.15
arm,3,65.41,4.96,5.44
armada,6,1.08,4.04,4.6
armed,5,22.82,3.6,4.11
armor,5,7.29,4.76,6.1
armored,7,3.25,3.59,5.67
armory,6,1.86,4.36,5.25
armpit,6,1.25,4.8,4.1
army,4,85.69,4.7,4.65
aroma,5,1.35,3.67,7.65
arouse,6,1.22,2.85,6.67
arraignment,11,1.39,2.58,3.91
arrange,7,15.51,2.79,5.15
arrangement,11,9.45,2.3,5.71
array,5,2.12,2.54,5.9
arrest,6,59.55,3.93,2.33
arrival,7,8.27,3.07,6.67
arrive,6,18.69,3.22,6.41
arrogance,9,2.82,1.74,2.55
arrogant,8,5.22,2.07,2.52
arrow,5,7.84,4.97,5.24
arsenal,7,2.00,3.86,4.45
arsenic,7,1.24,4.29,3
arson,5,3.00,3.66,2.26
art,3,70.80,4.17,6.85
artery,6,5.31,4.48,4.29
arthritis,9,1.94,3.5,2.32
article,7,19.57,4.33,5.68
articulate,10,1.67,2.2,6.55
artifact,8,1.10,4.5,6.2
artificial,10,4.82,2.93,3.86
artillery,9,5.49,4.31,4.1
artist,6,28.63,4.24,6.76
artistic,8,4.92,2.14,7
asbestos,8,1.29,4.52,2.24
ashamed,7,27.37,1.74,2.52
ashtray,7,3.25,4.97,3.52
ask,3,483.14,2.52,5.95
asleep,6,49.82,3.71,6.5
aspect,6,3.86,1.82,4.89
aspen,5,1.88,4.59,6.57
aspire,6,1.08,1.53,6.43
aspirin,7,7.75,4.76,5.3
ass,3,226.37,4.67,5.45
assailant,9,1.47,3.96,3.24
assassin,8,5.92,4.43,2.11
assassinate,11,1.88,3,3.27
assassination,13,5.51,3.8,1.83
assault,7,17.57,3.41,2.05
assemble,8,3.20,3.67,5.14
assembly,8,4.80,3.79,5.47
assess,6,1.63,2.26,5.84
assessment,10,3.10,2.11,5.22
asset,5,3.78,2.92,7.25
asshole,7,61.61,4.08,2.11
assign,6,2.71,2.86,4.75
assignment,10,17.88,3.86,5.39
assist,6,7.84,2.52,5.95
assistance,10,10.94,2.25,5.82
assistant,9,32.22,4.07,5.91
associate,9,8.98,3.41,5.2
association,11,8.12,2.3,5.5
assume,6,33.47,1.75,4.41
assumption,10,3.33,1.84,4.3
assurance,9,2.04,1.76,5.95
assure,6,20.02,2.43,6.33
asteroid,8,1.69,4.86,4.95
asthma,6,3.86,3.71,2.45
astonishing,11,1.71,1.68,6.53
astronaut,9,3.96,4.75,6.73
astronomy,9,1.31,3.03,6
astute,6,1.00,1.85,6.22
asylum,6,4.59,4.41,3.24
atheist,7,1.08,2.93,4.64
athlete,7,4.61,4.3,6.21
athletic,8,3.86,2.69,6.76
atlas,5,1.02,4.79,5.95
atmosphere,10,9.67,3.04,6.05
atom,4,2.75,3.34,5.74
atomic,6,4.88,2.93,4.26
attach,6,2.47,3.33,5.26
attachment,10,1.16,3.04,6
attack,6,75.55,3.71,2
attacker,8,1.43,4.04,2.23
attempt,7,19.12,2.22,6
attempted,9,7.69,2,5.35
attend,6,14.02,3.17,5.4
attendance,10,2.65,3.07,5.95
attendant,9,3.10,4.44,5.63
attention,9,98.67,2.3,6.68
attentive,9,1.29,1.78,6.43
Attic,5,7.84,4.53,4.95
attire,6,1.49,4.47,6.16
attitude,8,26.08,1.97,4.72
attorney,8,40.39,4.52,3.67
attract,7,5.69,2.73,6.38
attraction,10,6.82,2.24,7
attractive,10,24.63,2.64,7.19
auction,7,8.90,3.93,5.43
audience,8,25.37,4.29,5.89
audio,5,5.57,3.5,6.56
audit,5,1.12,3.15,2.82
audition,8,13.82,3.66,5.2
auditorium,10,1.57,4.7,6.05
aunt,4,55.20,4.17,6.56
auntie,6,7.86,4.48,6.24
aura,4,1.82,2.67,6.45
authentic,9,4.51,2.31,6.91
authenticity,12,1.16,1.74,6.81
author,6,7.94,4.26,6.33
authority,9,21.22,2.34,4.76
authorization,13,3.61,2.45,5.86
authorize,9,2.06,2.22,5.37
autistic,8,1.14,2.89,3.62
auto,4,7.67,4,5
autograph,9,8.16,4.23,6.21
automated,9,1.43,2.75,4.74
automatic,9,6.98,2.82,6.05
automobile,10,5.71,4.96,5.45
autopsy,7,9.59,4.29,2.62
autumn,6,3.78,3.27,7.12
auxiliary,9,2.14,2.64,5.26
available,9,25.94,2.11,6.86
avalanche,9,3.39,4.32,4
avenge,6,3.02,2.07,4.05
avenue,6,16.88,4,5.74
average,7,16.65,2.4,4.89
aversion,8,1.33,1.85,4
aviation,8,1.43,3.39,5.9
avocado,7,1.22,4.89,6.32
avoid,5,24.29,2.41,4.1
await,5,3.55,1.54,5.33
awake,5,26.71,3.32,6.76
awaken,6,2.45,3.45,6.05
awakening,9,1.24,3.07,6.41
award,5,12.88,4.14,7.86
aware,5,35.65,2,6.86
awareness,9,2.25,1.84,6.45
awe,3,2.63,1.89,6.85
awesome,7,31.37,1.83,7.86
awful,5,63.41,1.92,2.28
awkward,7,14.31,2,2.95
axe,3,4.88,5,3.48
axis,4,1.59,3.57,4.19
axle,4,1.24,4.5,4.67
babe,4,35.57,3.67,6.86
baboon,6,1.71,4.92,5.55
baby,4,509.37,5,6.67
bachelor,8,9.88,4.32,5.58
back,4,2009.16,4.33,4.76
backbone,8,1.65,4.19,5.16
backer,6,1.06,2.8,4.73
background,10,17.63,3.26,5.05
backpack,8,3.65,4.96,6.05
backseat,8,2.29,4.61,4.84
backside,8,1.67,4.07,4.58
backup,6,16.90,3.2,5.85
backyard,8,7.24,4.57,6.1
bacon,5,11.86,4.9,7.52
bacteria,8,3.04,4.14,3.3
bad,3,545.18,1.68,3.24
badge,5,15.25,4.93,5.24
badger,6,1.75,4.37,4.63
bag,3,94.04,4.9,5.05
baggage,7,6.24,4.43,4.5
bail,4,17.35,3.86,3.79
bailiff,7,2.16,4.5,3.95
bait,4,9.73,4.45,4
bake,4,6.33,4.21,7.2
bakery,6,3.51,4.83,6.79
balance,7,14.98,2.89,6.84
balcony,7,7.31,4.68,6.11
bald,4,9.73,4.69,2.85
bale,4,2.04,4.3,4.9
ball,4,104.96,5,6.14
ballad,6,1.41,3.88,6.33
ballast,7,1.18,3.14,4.67
ballerina,9,2.31,4.61,6.79
ballet,6,10.25,4.04,6.86
ballistic,9,1.16,2.61,5
ballistics,10,2.35,3.12,4.05
balloon,7,8.67,4.92,6.84
ballot,6,1.35,4.73,5.29
ballroom,8,4.31,4.7,5.75
bamboo,6,1.57,4.86,6.33
ban,3,3.14,2.37,3.38
banana,6,10.73,5,6.71
band,4,53.41,4.68,6.44
bandage,7,2.86,4.85,3.63
bandit,6,3.75,4.36,3.88
bang,4,19.98,3.77,5.1
banish,6,1.35,2.41,3.85
banister,8,1.31,4.75,5.42
banjo,5,1.63,4.9,6.35
bank,4,84.98,4.78,6
banker,6,4.76,4.43,4.89
banking,7,2.98,3.55,5.47
bankroll,8,1.10,3.75,6.05
bankrupt,8,2.80,3.24,2.21
bankruptcy,10,2.37,2.68,2.52
banner,6,5.92,4.8,5.17
banquet,7,5.16,4,6.11
banshee,7,1.12,3.12,3.58
banter,6,1.37,2.85,5.48
baptism,7,1.20,3.41,6.62
bar,3,85.98,4.67,5
barbarian,9,1.80,3.52,3.14
barbaric,8,1.41,2.5,3.43
barbecue,8,8.94,4.52,7.1
barbed,6,1.31,3.81,3.75
barber,6,5.47,4.59,4.89
bare,4,8.33,3.21,5.5
barefoot,8,2.37,4.62,6.91
bargain,7,12.00,2.59,7.63
bargaining,10,2.08,2.76,5.37
barge,5,3.88,4.66,5.44
bark,4,5.49,4.52,4.86
barn,4,13.59,4.79,6.16
baron,5,13.47,4.14,3.9
baroness,8,2.63,3.92,4.75
barrel,6,10.63,4.86,4.92
barren,6,1.47,3.2,3.79
barricade,9,1.47,4.57,4.32
barrier,7,3.39,4.41,4.47
bartender,9,9.76,4.82,5.63
base,4,35.37,3.86,5.68
baseball,8,25.25,4.86,5.79
basement,8,21.06,4.89,4.81
bash,4,3.27,3.52,3.68
bashful,7,1.24,2.19,5.55
basic,5,15.57,2.26,5.5
basics,6,2.24,2.27,5.86
basil,5,1.35,4.76,6.43
basin,5,1.88,4.63,5.47
basis,5,11.94,1.83,5.42
basket,6,13.18,5,5.66
basketball,10,21.39,4.97,5.67
bass,4,7.55,4.31,5.23
bastard,7,65.65,3.14,3.31
bat,3,20.63,5,4.81
batch,5,4.16,3.8,5.57
bath,4,31.12,4.85,7
bathe,5,2.51,4.19,7.5
bathing,7,7.43,4.07,6.14
bathrobe,8,1.67,5,6.48
bathroom,8,61.67,4.52,5.26
bathtub,7,6.10,4.92,6.26
baton,5,2.84,4.64,4.63
battalion,9,5.84,3.75,5.14
batter,6,3.98,4.41,5.24
battered,8,1.12,3.04,2.95
battery,7,12.41,4.67,4.26
battle,6,42.25,4,3.52
battlefield,11,3.24,4.54,3.89
battleship,10,1.71,4.81,4.43
bay,3,24.24,4.81,7.23
bayonet,7,1.57,4.77,4.68
bayou,5,1.33,4.54,6.2
bazaar,6,1.14,3.63,6.42
be,2,5746.76,1.85,6.18
beach,5,56.63,4.79,7.21
beacon,6,3.86,4.38,5.18
bead,4,1.12,4.9,6.05
beak,4,2.10,4.96,4.9
beam,4,8.73,3.96,5.74
bean,4,6.84,5,6
bear,4,57.41,4.88,5.33
beard,5,12.61,4.96,5.09
bearded,7,1.27,4.62,5.67
bearer,6,1.80,3.58,4.95
bearings,8,1.67,3,5.43
beast,5,24.55,4.63,4.42
beat,4,131.69,3.97,4.38
beautiful,9,279.73,2.16,7.61
beauty,6,48.24,2.93,7.58
beaver,6,4.82,4.68,5
become,6,115.57,1.54,6.32
bed,3,187.12,5,7.16
bedroom,7,36.71,4.9,7
bedside,7,1.92,3.92,5.89
bedtime,7,6.20,2.9,6.57
bee,3,10.35,4.88,3.68
beef,4,19.71,4.74,6.11
beep,4,6.51,4,5.11
beer,4,75.49,4.88,5.67
bees,4,5.33,4.72,5.14
beetle,6,2.06,4.83,4.2
beg,3,50.98,2.96,3.72
beggar,6,2.47,4.59,2.92
begin,5,56.98,2.56,6.44
beginner,8,1.94,2.73,5.15
beginning,9,63.12,2.5,6.39
behave,6,16.24,1.78,6.25
behavior,8,22.39,2.19,5.28
behavioral,10,1.55,1.48,5.1
behold,6,5.94,1.67,6.48
beige,5,1.35,3.41,5.26
belief,6,7.61,1.19,6.14
believable,10,1.41,1.46,6.89
believe,7,625.14,1.55,7.05
believer,8,3.41,2.73,5.64
bell,4,39.33,4.96,5.67
bellboy,7,1.24,4.39,4.95
bellman,7,1.08,4.89,5.35
belly,5,15.57,4.8,4.37
belong,6,44.37,1.43,6.5
belongings,10,3.02,3.88,6.09
beloved,7,12.76,2.14,7.38
belt,4,24.35,4.9,4.44
bench,5,9.67,4.87,5.5
bend,4,15.06,3.88,5.75
benefactor,10,1.69,3.36,6
beneficiary,11,1.35,3,6.19
benefit,7,14.35,2.25,6.87
benign,6,1.14,1.89,5.86
berserk,7,1.37,2.35,3.75
bestow,6,1.10,2.07,6.5
bet,3,171.82,3.1,4.95
beta,4,3.43,2.84,5.55
betray,6,9.14,2.17,2.52
betrayal,8,4.24,1.76,2.24
beverage,8,2.33,4.6,7.17
beware,6,5.73,2,3.3
bewildered,10,1.02,1.8,4.32
bias,4,1.61,1.68,3.95
Bible,5,18.33,4.61,5.74
biblical,8,2.24,1.97,6.52
bicycle,7,6.61,4.89,6.71
bid,3,12.59,2.71,5.16
bidder,6,1.73,3.4,5.39
bidding,7,4.59,2.69,5.29
big,3,682.82,3.66,5.64
bike,4,25.88,5,6.1
bikini,6,3.69,4.96,5.57
bill,4,118.45,4.68,3.11
billboard,9,1.35,4.83,4.25
billing,7,1.98,3.54,3.23
billion,7,11.14,3.79,6.8
bin,3,5.37,4.72,4.95
bind,4,3.35,3.4,4.82
binding,7,2.18,3.39,4.15
bingo,5,12.55,4,5.62
binoculars,10,1.57,5,5.57
biography,9,1.47,3.39,5.4
biological,10,5.88,3.11,6.57
biologist,9,1.25,3.96,5.85
biology,7,4.90,3.48,6
birch,5,1.55,4.12,6.53
bird,4,45.45,5,6.75
birdie,6,4.96,3.79,6.47
birth,5,27.55,4.46,6.52
birthday,8,97.22,3.2,6.37
birthmark,9,1.67,4.35,4.6
biscuit,7,3.75,4.9,6.45
bisexual,8,1.06,2.65,4.74
bishop,6,16.76,4.21,4.53
bit,3,235.04,3.27,5.05
bitch,5,168.80,3.72,2.55
bite,4,40.78,4.44,3.52
bitter,6,11.14,2.93,3.63
bitterness,10,1.41,2.36,3.15
biz,3,1.86,2.38,4.7
bizarre,7,7.29,1.79,4.41
black,5,167.94,3.76,5.4
blackboard,10,1.18,4.72,4.95
blackjack,9,4.08,3.93,5
blackmail,9,7.73,2.78,2.59
blackmailer,11,1.06,3.21,2.05
blackout,8,4.41,3.73,3.73
blacksmith,10,2.10,4.38,5.58
bladder,7,3.96,4.48,4.58
blade,5,13.00,4.93,3.9
blame,5,58.78,2.06,2.94
bland,5,1.08,2.38,3.88
blank,5,9.71,3.12,4.67
blanket,7,12.98,5,7.05
blasphemy,9,1.47,2.22,2.95
blast,5,16.18,3.9,4.45
blatant,7,1.14,2.08,3.68
blaze,5,2.10,4.28,4.47
blazer,6,1.22,4.79,5.5
bleach,6,2.31,4.74,4.62
bleak,5,1.08,2.54,3.96
bleed,5,10.10,4.4,2.47
bleep,5,2.67,3.1,5
blend,5,4.27,3.7,5.63
blender,7,1.67,5,5.16
bless,5,35.06,2.68,7
blessed,7,13.80,2.1,7.5
blessing,8,9.71,2.19,7.18
blimp,5,1.04,4.76,5.14
blind,5,45.82,4.03,2.8
blindfold,9,1.73,4.57,4.55
blinding,8,1.47,3.17,3.37
blindness,9,1.31,3.73,2.55
blink,5,5.06,4.39,5.25
bliss,5,3.14,1.37,7.62
blitz,5,1.25,2.85,5.6
blizzard,8,1.94,4.68,4.36
bloated,7,1.69,3.36,2.8
blob,4,1.18,4.06,3.9
block,5,40.53,4.48,4.48
blockade,8,1.53,4.25,3.45
blockbuster,11,1.06,2.72,5.68
bloke,5,4.67,3.89,5
blond,5,10.45,4.41,6.08
blonde,6,13.92,4.52,6
blood,5,186.12,4.86,3.48
bloodbath,9,1.41,3.54,2.05
bloodshed,9,1.96,3.83,3.61
bloodstream,11,1.73,4.04,5.05
bloody,6,38.47,4.08,2.86
bloom,5,5.51,4,6.4
blooming,8,1.59,4.07,7.19
blossom,7,3.61,4.26,7.05
blouse,6,5.33,4.96,5.73
blow,4,97.57,3.74,6.1
blowout,7,1.49,3.35,4.27
blue,4,102.39,3.76,6.53
blueberry,9,2.57,4.96,7.11
blueprint,9,1.24,4.77,4.95
blues,5,10.25,2.31,3.43
bluff,5,6.22,3,4.58
blunt,5,4.90,3.07,4.65
blur,4,2.14,3.3,4.45
blurry,6,1.37,3.7,4.1
blush,5,2.67,4.41,6.38
boa,3,1.29,4.92,3.63
boar,4,2.18,4.8,5
board,5,64.16,4.57,5.33
boarding,8,11.06,3.44,5.22
boardwalk,9,1.84,4.78,6.86
boast,5,1.06,2.32,4.24
boat,4,95.78,4.93,6.36
boating,7,1.02,3.85,6.63
bodily,6,2.12,2.69,4.74
body,4,195.53,4.79,5.95
bodyguard,9,5.73,4.75,5.29
bogey,5,2.49,3.69,3.58
bogus,5,2.71,2.19,2.84
boil,4,5.94,4.2,4.48
boiler,6,2.82,4.52,4.47
bold,4,7.55,2.43,6.68
bolt,4,6.88,4.67,3.9
bomb,4,53.65,4.84,2.47
bomber,6,4.20,4.45,2.84
bombing,7,7.49,3.93,2.1
bonanza,7,1.63,3.38,6.09
bondage,7,1.71,3.65,4.38
bonding,7,3.04,2.48,6.45
bone,4,26.06,4.9,5.24
bonehead,8,1.18,3.29,4.05
boner,5,2.33,4.34,5.33
bonfire,7,1.75,4.83,6.53
bong,4,2.78,4.27,4.26
bonkers,7,1.12,1.76,4.95
bonnet,6,1.86,4.93,4.89
bonus,5,9.20,3.04,8.05
bony,4,1.20,3.67,4.95
